actor,death,season_1,season_2,season_3,season_4,season_5,season_6,season_7
Jon Snow,S05E10,54.8,33.8,36.0,42.5,49.2,52.0,70.0
Tyrion Lannister,None,52.8,65.0,50.0,47.8,44.0,34.0,43.5
Daenerys Targaryen,None,54.0,38.8,30.8,27.5,41.8,28.8,54.5
Sansa Stark,None,24.0,34.0,33.5,32.8,34.8,40.5,39.0
Cersei Lannister,None,28.0,36.2,22.0,37.2,49.8,28.5,34.2
Arya Stark,None,33.5,38.8,26.5,25.8,34.8,30.0,35.0
Jaime Lannister,None,21.0,18.2,34.8,36.0,21.8,30.8,36.5
Samwell Tarly,None,21.2,11.2,24.0,26.0,23.5,16.0,21.8
Jorah Mormont,None,27.5,17.5,18.8,13.5,29.8,10.5,25.0
Theon Greyjoy,None,16.8,40.2,22.5,12.2,15.5,16.5,12.5
Petyr 'Littlefinger' Baelish,S08E07,25.8,21.2,8.8,19.0,18.5,9.0,16.8
Davos Seaworth,None,0.0,19.2,19.0,11.5,12.5,27.2,20.5
Eddard 'Ned' Stark,S01E09,92.5,0.0,0.0,0.0,0.0,7.2,0.2
Bran Stark,None,25.8,13.2,16.8,12.0,0.0,18.2,13.2
Brienne of Tarth,None,0.0,18.0,21.2,20.0,14.8,15.5,8.0
Sandor 'The Hound' Clegane,None,6.8,11.8,16.0,28.5,0.0,9.8,22.5
Lord Varys,None,19.0,14.0,15.8,6.5,10.5,16.0,12.5
Catelyn Stark,S03E09,42.2,24.0,16.5,0.0,0.0,0.0,0.0
Tywin Lannister,S04E10,10.2,17.2,21.2,28.5,1.0,0.0,0.0
Margaery Tyrell,S06E10,0.0,9.5,21.2,17.8,11.2,18.2,0.0
Robb Stark,S03E09,24.8,27.5,25.5,0.0,0.0,0.0,0.0
Bronn,None,15.0,14.5,6.8,8.8,13.5,5.5,10.8
Stannis Baratheon,S05E10,0.0,19.8,14.2,10.0,29.2,0.0,0.0
Joffrey Baratheon,S04E02,17.8,17.5,20.2,14.8,0.0,0.0,0.0
Melisandre,None,0.0,12.8,18.0,5.2,11.8,18.0,3.0
Ramsay Bolton,S06E09,0.0,0.0,12.8,13.5,18.5,21.2,0.0
Missandei,None,0.0,0.0,11.5,9.5,13.2,11.5,16.5
Gilly,None,0.0,3.2,13.5,9.2,11.8,15.2,2.5
Tormund Giantsbane,None,0.0,0.0,8.8,7.2,12.2,13.5,13.8
Ygritte,S04E09,0.0,17.8,25.0,8.2,0.0,0.0,0.0
Shae,S04E10,8.0,16.0,14.5,8.8,0.0,0.0,0.0
Daario Naharis,None,0.0,0.0,6.5,7.5,19.2,12.8,0.0
Podrick Payne,None,0.0,3.8,5.5,16.0,9.0,7.0,3.2
Olenna Tyrell,S07E03,0.0,0.0,13.8,8.0,8.0,8.5,5.8
Tommen Baratheon,S06E10,0.8,4.2,0.0,9.8,11.5,17.0,0.0
Grey Worm,None,0.0,0.0,5.5,6.5,10.2,10.0,10.5
Gendry,None,2.8,9.0,17.0,0.0,0.0,0.0,10.5
High Sparrow,S06E10,0.0,0.0,0.0,0.0,17.0,20.5,0.0
Barristan Selmy,S05E04,8.8,0.0,13.5,7.8,7.2,0.0,0.0
Grand Maester Pycelle,S06E10,13.8,6.2,2.8,5.2,2.5,4.8,0.0
Yara Greyjoy,None,0.0,10.0,2.8,2.2,0.0,12.0,5.2
Loras Tyrell,S06E10,5.8,8.0,6.2,1.8,4.5,5.8,0.0
Talisa Maegyr,S03E09,0.0,14.8,16.0,0.0,0.0,0.0,0.0
Robert Baratheon,S01E07,30.5,0.0,0.0,0.0,0.0,0.0,0.0
Roose Bolton,S06E02,0.0,3.5,8.8,5.8,9.0,3.2,0.0
